year,team,matches,wins,draws,losses,goals_for,goals_against,points,gdp_per_capita,goal_difference,win_percentage,goals_per_match,goals_conceded_per_match,points_per_match
1954,South Korea,2,0,0,2,0.0,16.0,0,,-16.0,0.0,0.0,8.0,0.0
1954,Switzerland,4,2,0,2,11.0,11.0,6,,0.0,0.5,2.75,2.75,1.5
1954,Turkey,3,1,0,2,10.0,11.0,3,,-1.0,0.333,3.33,3.67,1.0
1954,Uruguay,5,3,0,2,16.0,9.0,9,,7.0,0.6,3.2,1.8,1.8
1954,Yugoslavia,3,1,1,1,2.0,3.0,4,,-1.0,0.333,0.67,1.0,1.33
1958,Argentina,3,1,0,2,5.0,10.0,3,,-5.0,0.333,1.67,3.33,1.0
1958,Austria,3,0,1,2,2.0,7.0,1,,-5.0,0.0,0.67,2.33,0.33
1958,Brazil,6,5,1,0,16.0,4.0,16,,12.0,0.833,2.67,0.67,2.67
1958,Czechoslovakia,4,1,1,2,9.0,6.0,4,,3.0,0.25,2.25,1.5,1.0
1958,England,4,0,3,1,4.0,5.0,3,,-1.0,0.0,1.0,1.25,0.75
1958,France,6,4,0,2,23.0,15.0,12,,8.0,0.667,3.83,2.5,2.0
1958,Germany,6,2,2,2,12.0,14.0,8,,-2.0,0.333,2.0,2.33,1.33
